f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_days_since_host2,n_days_since_host3,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2,flag_days_since_rv,flag_review_scores_rating,flag_reviews_per_month,flag_number_of_reviews,flag_host_response_rate,flag_host_acceptance_rate
serviced_apartment,Ward 115,2601,3087,100,100,4,4,1,4,9,78,3,0.1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,3770,590826,Ward 115,serviced_apartment,8.234830280442056,16,0,2.302585092994046,6765201,9529569,29417779503,10000,10000,1.6094379124341003,1,0,0,0,0,0,0
apartment,Ward 115,2939,3218,100,100,3,2,1,1,35,98,3,0.36,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1253,617238,Ward 115,apartment,7.133295954896068,1,0,3.58351893845611,8637721,10355524,33324076232,10000,10000,1.3862943611198906,1,0,0,0,0,0,0
loft,Ward 115,2318,3128,97,96,62,2,1,1,7,80,64,0.09,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1637,636290,Ward 115,loft,7.400620577371135,1,0,2.0794415416798357,5373124,9784384,30605553152,9216,9409,4.143134726391533,1,0,0,0,0,0,0
loft,Ward 115,2640,3096,100,100,1,2,1,1,205,98,1,2.33,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1814,650049,Ward 115,loft,7.503289630675082,1,0,5.327876168789581,6969600,9585216,29675828736,10000,10000,0.6931471805599453,1,0,0,0,0,0,0
apartment,Ward 115,2569,3128,97,96,62,2,1,1,5,88,64,0.06,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1511,653565,Ward 115,apartment,7.32052696227274,1,0,1.791759469228055,6599761,9784384,30605553152,9216,9409,4.143134726391533,1,0,0,0,0,0,0
serviced_apartment,Ward 4,1385,3048,100,100,11,5,2,5,4,75,10,0.09,2,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1552,660090,Ward 4,serviced_apartment,7.347299700743164,25,0.6931471805599453,1.6094379124341003,1918225,9290304,28316846592,10000,10000,2.4849066497880004,4,0,0,0,0,0,0
serviced_apartment,Ward 4,551,3048,100,100,11,2,1,2,3,93,10,0.16,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,972,660099,Ward 4,serviced_apartment,6.879355804460439,4,0,1.3862943611198906,303601,9290304,28316846592,10000,10000,2.4849066497880004,1,0,0,0,0,0,0
apartment,Ward 77,2967,3761,93,64,2,2,1,2,47,89,4,0.48,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1754,670616,Ward 77,apartment,7.469654172932128,4,0,3.871201010907891,8803089,14145121,53199800081,4096,8649,1.0986122886681098,1,0,0,0,0,0,0
apartment,Ward 115,1556,3129,97,96,62,4,2,3,17,89,64,0.33,2,0,1,1,1,1,1,1,1,0,0,1,1,1,0,6150,675177,Ward 115,apartment,8.724207360800564,9,0.6931471805599453,2.8903717578961645,2421136,9790641,30634915689,9216,9409,4.143134726391533,4,0,0,0,0,0,0
apartment,Ward 54,753,2999,100,94,0,4,2,2,8,100,7,0.32,2,1,1,1,0,1,1,1,1,0,0,1,1,1,0,4500,731764,Ward 54,apartment,8.411832675758411,4,0.6931471805599453,2.1972245773362196,567009,8994001,26973008999,8836,10000,0,4,0,0,0,0,0,0
