f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
serviced_apartment,Ward 115,375,2992,79,94,72,2,1,1,5,96,71,0.4,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,750,40749325,Ward 115,serviced_apartment
apartment,Ward 83,357,380,100,100,0,4,2,3,15,100,1,1.26,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1879,40752556,Ward 83,apartment
apartment,Ward 115,362,2094,97,83,22,2,1,1,10,98,15,0.83,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1470,40756277,Ward 115,apartment
apartment,Ward 1,NA,388,100,100,2,2,1,1,0,NA,2,NA,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,800,40767404,Ward 1,apartment
apartment,Ward 115,363,979,98,97,89,2,1,1,7,91,78,0.58,2,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1598,40767635,Ward 115,apartment
apartment,Ward 115,370,979,98,97,89,2,1,1,6,100,78,0.49,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1666,40769617,Ward 115,apartment
apartment,Ward 54,375,586,88,100,6,2,NA,1,17,89,8,1.36,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,750,40769994,Ward 54,apartment
apartment,Ward 54,364,585,88,100,6,2,1,2,5,96,8,0.41,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,623,40770975,Ward 54,apartment
apartment,Ward 23,285,729,100,94,1,2,1,1,8,100,2,0.84,2,1,1,1,0,1,1,1,0,0,0,1,1,1,0,2100,40773130,Ward 23,apartment
apartment,Ward 115,354,2093,97,83,22,2,1,0,5,96,15,0.42,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1418,40777598,Ward 115,apartment
apartment,Ward 64,NA,379,0,0,0,5,2,3,0,NA,1,NA,1.5,0,1,0,1,1,0,1,0,0,0,0,1,1,0,495,40779370,Ward 64,apartment
apartment,Ward 109,360,819,100,70,0,2,1,1,10,98,1,0.83,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,799,40779754,Ward 109,apartment
apartment,Ward 115,352,377,100,100,0,4,2,2,4,80,1,0.34,2.5,0,1,1,0,1,1,1,0,0,0,0,1,1,0,4420,40790755,Ward 115,apartment
apartment,Ward 83,NA,1731,100,40,3,4,2,2,0,NA,2,NA,2,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1200,40791551,Ward 83,apartment
apartment,Ward 115,368,416,93,96,0,2,NA,1,13,97,2,1.06,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1026,40792548,Ward 115,apartment
